pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.02,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.02,1,8,2,0.8521437889662113,0.9607894391523232,0.8187307530779818,0.8521437889662113,0.9607894391523232,0.8187307530779818,0.14785621103378865,0.03921056084767682,0.18126924692201818,0.8521437889662113,0.9607894391523232,0.8187307530779818
0.02,2,8,2,0.8697534679943867,0.9328803052789528,0.8093856121824625,0.9750900861518983,0.9878860339141179,0.9643954512162954,0.019257758722641072,0.002631800873937113,0.03455252653218654,0.12859845231114758,0.03657875997373971,0.14671672038983163
0.02,3,8,2,0.8864547441287352,0.9172280898965701,0.8101077545368084,0.9955398313678036,0.9970696706931479,0.992904383847706,0.002186627141669363,2.178391853476509e-4,0.006561256849623406,0.017071131580971708,0.002413961688589462,0.02799126968256313
0.02,4,8,2,0.8974009952365577,0.9082341695644434,0.8116823749476316,0.9991695048986872,0.9993529499928164,0.9985818832487504,2.243457685240072e-4,1.9990193744832328e-5,0.0012356003072796645,0.0019622813731453555,1.9784899160281858e-4,0.005325656542343742
0.02,5,8,2,0.9041235696643786,0.9029386510209627,0.8128481461082241,0.9998412513853977,0.999863261544353,0.9997164168670503,2.1509471446983425e-5,1.940275171225739e-6,2.3124488817663716e-4,2.0283629707702376e-4,1.804991857360659e-5,0.0010043554191030274
0.02,6,8,2,0.9081845746516708,0.899784089830251,0.813591190837897,0.9999691311598902,0.9999717723009214,0.9999432849817675,1.9749012699225254e-6,1.9444644226415292e-7,4.3106084229830606e-5,1.95345701770609e-5,1.7458287289615862e-6,1.8813880394680655e-4
0.02,7,8,2,0.9106262513291352,0.8978962140095623,0.8140456695097189,0.9999939318960303,0.999994248831081,0.9999886570606852,1.7650432974782747e-7,1.9853717927541066e-8,8.015763033015815e-6,1.798396940174698e-6,1.7459272433661186e-7,3.509032119681479e-5
0.02,8,8,2,0.9120922218132942,0.8967644980023501,0.8143200796955515,0.9999987990573292,0.9999988370894903,0.9999977314147103,1.5516103468465198e-8,2.0496085367694424e-9,1.4883662411497205e-6,1.6098822627936228e-7,1.7804109390771623e-8,6.527396791866095e-6
0.02,9,8,2,0.9129719909164056,0.8960856747732678,0.8144850695470442,0.9999997613327809,0.9999997658966391,0.999999546283045,1.3503355935955801e-9,2.1298368807734649e-10,2.761141597154176e-7,1.4165767874869617e-8,1.836624848692096e-9,1.212252081434303e-6
0.02,10,8,2,0.9134998889435516,0.8956784227107638,0.8145841320440436,0.9999999524491117,0.9999999529967745,0.9999999092566132,1.1680417880949285e-10,2.2218794277107473e-11,5.119594657856373e-8,1.2335314147860873e-9,1.90764893800239e-10,2.2491821313685385e-7
0.02,11,8,2,0.9138166339180227,0.8954340785906233,0.8146435829058492,0.9999999905117288,0.9999999905774484,0.9999999818513227,1.0066577302243258e-11,2.323328696191129e-12,9.489497227546125e-9,1.0673760150724959e-10,1.9895465580916346e-11,4.1706449351017604e-8
0.02,12,8,2,0.9140066848127238,0.8952874742979168,0.8146792555516711,0.9999999981049745,0.9999999981128609,0.9999999963702646,8.656583548088845e-13,2.432816158143011e-13,1.758600690649201e-9,9.200918947434373e-12,2.080047080376828e-12,7.730896536896924e-9
0.02,13,8,2,0.9141207111450965,0.895199510609826,0.8147006690881284,0.9999999996213103,0.9999999996222567,0.9999999992740529,7.434212390229272e-14,2.5496032396971036e-14,3.2586753131845216e-10,7.913162309065918e-13,2.1778558341733006e-13,1.4327331593307487e-9
0.02,14,8,2,0.9141891034219078,0.8951467788185815,0.814713515580195,0.9999999999243,0.9999999999244136,0.9999999998548106,6.379364305575353e-15,2.6733411241682156e-15,6.03788492645567e-11,6.796275959671737e-14,2.282269127280282e-14,2.6548868205389545e-10
0.02,15,8,2,0.9142305486522654,0.8951152743261327,0.8147207034983751,0.9999999999848646,0.9999999999848781,0.9999999999709621,5.4715457643652e-16,2.803926504410513e-16,1.1186950715314717e-11,5.832209729138833e-15,2.392948473727164e-15,4.9191898549241985e-11
