pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.04,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.04,1,8,2,0.7261490370736909,0.9231163463866358,0.6703200460356393,0.7261490370736909,0.9231163463866358,0.6703200460356393,0.27385096292630906,0.07688365361336424,0.3296799539643607,0.7261490370736909,0.9231163463866358,0.6703200460356393
0.04,2,8,2,0.7406906250944661,0.8611206037377247,0.6331176490712185,0.9104803146464776,0.9545542072371623,0.8764531900452683,0.07101212201369973,0.010677555396261928,0.12095375656453711,0.20283884091260934,0.06620609821710231,0.20872619739982357
0.04,3,8,2,0.7636826351211972,0.8245337270217376,0.6225469174760532,0.9682335378112314,0.9785296134135961,0.9517825120855956,0.016781397548729544,0.0018735508499010147,0.0456543682581356,0.05423072446497019,0.008804004546360914,0.07529938830640151
0.04,4,8,2,0.7811668726513268,0.8036500277806448,0.6196479484154404,0.9881874239930227,0.9906323120616606,0.9808978089132518,0.0036723257068698454,3.678716573296136e-4,0.017364732630778874,0.0131090718418597,0.001505679192571401,0.028289635627356723
0.04,5,8,2,0.7927946100067231,0.7917092839910155,0.6191291879682106,0.9954808030831396,0.9960650958831584,0.9923882408539142,7.609256802743025e-4,7.662425090459702e-5,0.006613719817799661,0.002911400026595543,2.912474064250166e-4,0.010751012812979212
0.04,6,8,2,0.800156222738357,0.784817883915127,0.6192825328689122,0.9982406141942198,0.9983806075624988,0.9969599267511491,1.520662621614019e-4,1.6488168453069434e-5,0.002517958657347366,6.088594181129005e-4,6.013608245152758e-5,0.004095761160452295
0.04,7,8,2,0.8047115169685363,0.780801287257813,0.6195565072280685,0.9993076849079101,0.9993412606196538,0.9987847097644834,2.969678965776505e-5,3.6141853003891575e-6,9.57940986256555e-4,1.2236947250363685e-4,1.2873983152680276e-5,0.001560017671090811
0.04,8,8,2,0.8074963923141767,0.7784408401311634,0.6197930112969662,0.9997257976204496,0.9997338536141567,0.9995140020410787,5.716739145806818e-6,8.007558587645204e-7,3.6421585773981904e-4,2.3980050511958234e-5,2.8134294416246372e-6,5.937251285167359e-4
0.04,9,8,2,0.8091871415236465,0.7770449185627987,0.6199636414524441,0.9998909694719365,0.9998929027014912,0.9998056197107285,1.0908273375750667e-6,1.7853258770215973e-7,1.384152683007155e-4,4.625911808231751e-6,6.222232710623607e-7,2.2580058943910355e-4
