pin,t,lin,lout,hazard_1,hazard_2,hazard_b,ce_1,ce_2,S_1,S_2,S_b,p_1,p_2,p_b,e_1,e_2
0.04,0,8,2,0,0,0,NA,NA,1,1,1,0,0,0,0,1
0.04,1,8,2,0.7261490370736909,0.9231163463866358,0.6703200460356393,0,0.9231163463866358,0.27385096292630906,0.07688365361336424,0.3296799539643607,0.7261490370736909,0.9231163463866358,0.6703200460356393,0.7261490370736909,0.9231163463866358
0.04,2,8,2,0.7284648815402355,0.8621517862510061,0.6252522834066901,0.7216964251507841,0.9006822302975618,0.0743601536585159,0.010598274317098644,0.12354680995473168,0.19949080926779317,0.0662853792962656,0.206133144009629,0.7235499734505602,0.8977198689839172
0.04,3,8,2,0.7428791386810555,0.8262165846753083,0.609722922574273,0.9075536777759649,0.9473885518768289,0.019119546756486677,0.0018418043073733664,0.048217487914404396,0.05524060690202923,0.008756470009725277,0.07532932204032727,0.8620293970711603,0.9349950671959809
0.04,4,8,2,0.7550146945036428,0.8057201164239638,0.6038327189367821,0.9667728247856474,0.9760598534654961,0.004684008003089774,3.578255264063396e-4,0.01910219108674816,0.014435538753396902,0.0014839787809670267,0.029115296827656238,0.9375564278755554,0.964986930305257
0.04,5,8,2,0.763419971230654,0.794007708384229,0.6015242905110323,0.9875304889559751,0.9897340375275296,0.0011081427481268258,7.37093001830615e-5,0.007611759146085807,0.0035758652549629484,2.841162262232781e-4,0.011490431940662352,0.9735362276785473,0.982881057924139
0.04,6,8,2,0.7688595011988922,0.7872512245301483,0.6006083231871291,0.9952000362903034,0.9957264886740521,2.5613666754486483e-4,1.568156335468605e-5,0.0030400732488509168,8.52006080581961e-4,5.8027736828375446e-5,0.0045716858972348895,0.9892102119025286,0.9921576127029228
0.04,7,8,2,0.7722702594907637,0.783314635397286,0.6002431073080425,0.9981238928001961,0.9982500122961714,5.8329936834892604e-5,3.397965273050706e-6,0.0012152902355165864,1.9780673070997224e-4,1.2283598081635343e-5,0.0018247830133343303,0.9956869799557433,0.9965644058266871
0.04,8,8,2,0.7743729262879399,0.7810017903005755,0.6000972074668545,0.9992599206736543,0.9992901674092268,1.3160812957866125e-5,7.441483114189208e-7,4.8599795892134706e-4,4.5169123877026476e-5,2.6538169616317853e-6,7.292922765952394e-4,0.9982899785591761,0.9985402171327304
0.04,9,8,2,0.7756564074764096,0.7796342627724777,0.600038877317583,0.9997064311080901,0.9997136882198877,2.9525440594987063e-6,1.6398479125244632e-7,1.9438028927154516e-4,1.0208268898367419e-5,5.801635201664745e-7,2.916176696498019e-4,0.9993233007638628,0.999392420045181
0.04,10,8,2,0.7764351068817755,0.7788219488799711,0.6000155500200773,0.9998831598385233,0.99988490134337,6.600851970886769e-7,3.6269836542540836e-8,7.774909309121725e-5,2.2924588624100293e-6,1.2771495470990548e-7,1.1663119618032791e-4,0.9997319527117711,0.9997505879247002
0.04,11,8,2,0.7769057372539084,0.7783378733666481,0.6000062198635071,0.9999534043414084,0.999953822283184,1.4726122039410692e-7,8.039649100663662e-9,3.1099153647740074e-5,5.128239766945699e-7,2.8230187441877175e-8,4.664993944347717e-5,0.9998936170190998,0.999898548589445
0.04,12,8,2,0.7771894717896346,0.7780487608767761,0.6000024879225728,0.9999813953449741,0.9999814956491391,3.2811350300913994e-8,1.7844100800082124e-9,1.2439584086809672e-5,1.1444987009319292e-7,6.25523902065545e-9,1.86595695609304e-5,0.9999576940760259,0.9999589802601482
0.04,13,8,2,0.7773602531425459,0.7778758283675616,0.6000009951679361,0.9999925661899538,0.9999925902627746,7.305110725046743e-9,3.9636061087439726e-10,4.975821255248647e-6,2.550623957586725e-8,1.3880494691338152e-9,7.4637628315610255e-6,0.9999831475242439,0.9999834790909851
0.04,14,8,2,0.7774629377506329,0.7777722833027348,0.6000003980479944,0.9999970284062223,0.9999970341836822,1.6256578801582463e-9,8.808231354335051e-11,1.9903265214837873e-6,5.679452844888497e-9,3.0827829733104677e-10,2.9854947337648596e-6,0.9999932781558546,0.9999933628287921
0.04,15,8,2,0.7775246347258999,0.7777102421526133,0.6000001591653603,0.9999988118253915,0.9999988132119804,3.6166883069892503e-10,1.9579796148188974e-11,7.961302918024771e-7,1.2639890494593213e-9,6.850251739516153e-11,1.1941962296813102e-6,0.9999973163886466,0.9999973378446767
0.04,16,8,2,0.7775616873461074,0.7776730518241366,0.6000000637855407,0.9999995248411966,0.9999995251739777,8.044900444017523e-11,4.3531163235323795e-12,3.184520659393897e-7,2.8121982625874983e-10,1.5226679824656595e-11,4.776782258630874e-7,0.9999989279044904,0.9999989333063732
0.04,17,8,2,0.7775839327510694,0.7776507513927611,0.6000000252408936,0.9999998099631192,0.9999998100429867,1.7893151181675528e-11,9.67912143637331e-13,1.2738081833774118e-7,6.25558532584997e-11,3.3852041798950486e-12,1.910712476016485e-7,0.999999571512056,0.9999995728646629
0.04,18,8,2,0.7775972852343486,0.7776373769448401,0.6000000111561967,0.99999992399164,0.9999999240108082,3.979485398516862e-12,2.152274831461396e-13,5.0952325914011e-8,1.3913665783158667e-11,7.526846604911915e-13,7.642849242373018e-8,0.9999998286947905,0.9999998290319067
0.04,19,8,2,0.7776052992912207,0.7776293526621885,0.6000000061010453,0.9999999695981899,0.9999999696027903,8.850164641781148e-13,4.786027475209498e-14,2.038093005474195e-8,3.0944689343387468e-12,1.673672083940446e-13,3.0571395859269046e-8,0.9999999315008243,0.9999999315845098
0.04,20,8,2,0.777610103740759,0.7776245392498715,0.6000000010894724,0.99999998783964406,0.9999999878407481,1.9681871965629123e-13,1.0642950649624863e-14,8.15237199969232e-9,6.881977445218236e-13,3.7217324102470116e-14,1.2228558055049629e-8,0.9999999726061204,0.9999999726268227
0.05,0,8,2,0,0,0,NA,NA,1,1,1,0,0,0,0,1
0.05,1,8,2,0.6703200460356393,0.9048374180359595,0.6065306597126334,0,0.9048374180359595,0.3296799539643607,0.09516258196404048,0.3934693402873666,0.6703200460356393,0.9048374180359595,0.6065306597126334,0.6703200460356393,0.9048374180359595
0.05,2,8,2,0.664909583903216,0.8257326179284131,0.546110883110423,0.6639713631669136,0.8710420436133404,0.11047259295268622,0.016583734030046145,0.17859145138615728,0.21920736101167446,0.07857884793399433,0.2148778889012093,0.6642806757360662,0.8667302816778548
0.05,3,8,2,0.6760487421552847,0.7771522661426318,0.5216740269231657,0.8630287707652062,0.9183414145417531,0.035787735444389936,0.003695647547489104,0.08542492976748783,0.07468485750829629,0.012888086482557041,0.09316652161866945,0.8002559619094324,0.8995251765044586
0.05,4,8,2,0.6867735706286276,0.7486551668393082,0.5105276962858168,0.9389863372119501,0.9546976770949243,0.011209664588533563,9.288819162443686e-4,0.04181313716791457,0.024578070855856372,0.0027667656312447353,0.04361179259957326,0.8886083407566036,0.933995592244413
0.05,5,8,2,0.69464524195542,0.7321182319018859,0.5051904080089827,0.9714789310737499,0.9760687100155978,0.003422924418192563,2.4883053007790585e-4,0.020689541341920248,0.007786740170341,6.800513861664627e-4,0.021123595825994324,0.9406419671083887,0.95996690318601
0.05,6,8,2,0.6999505824841241,0.7225344914251431,0.5025772978267158,0.9862932482603491,0.9876522440635875,0.001027046477879547,6.904188957701736e-5,0.010291447561023846,0.002395877940313016,1.797886405008885e-4,0.010398093780896402,0.96929651088693225,0.9770387594051052
0.05,7,8,2,0.7033897521092284,0.7169696802784062,0.5012842272413284,0.993305035518631,0.9937100872949517,3.0463251039919626e-4,1.9540948081166193e-5,0.005132507223201354,7.224139674803507e-4,4.950094149585117e-5,0.005158940337822492,0.9844036247707585,0.9873557842271157
0.05,8,8,2,0.7055716278426448,0.713728392746124,0.5006410149500133,0.9966984849630048,0.9968196066694773,8.969245414304393e-5,5.594018614459991e-6,0.0025629635977395533,2.1494005625615235e-4,1.3946929466706202e-5,0.0025695436254618005,0.992157961260046,0.9932401402772227
0.05,9,8,2,0.7069372406390324,0.7118339320234786,0.5003202336439107,0.9983626964984009,0.9983989741755425,2.6285518105017503e-5,1.612006348316404e-6,0.0012806610516976622,6.340693603802642e-5,3.982012266143587e-6,0.001282302546041891,0.99607732678374294,0.9964618346891427
0.05,10,8,2,0.7077840807111776,0.7107228837859543,0.5001600484683162,0.9991853080587477,0.9991961825545259,7.681046837040675e-6,4.663165477597039e-7,6.401255580090747e-4,1.860447126797683e-5,1.1456898005567e-6,6.405354936885875e-4,0.998042236269047,0.9981755163357144
0.05,11,8,2,0.7083056982683585,0.710069216363546,0.5000800071586801,0.9995938239907706,0.9995970850197355,2.240517593698613e-6,1.3519952211461685e-7,3.2001156437744255e-4,5.440529243342062e-6,3.3111702564508703e-7,3.201139936316321e-4,0.999023550662974,0.9990688461530168
