,generation,new_infections_1,new_infections_2,total_infections_1,total_infections_2,total_infections,simulation_id
0,0,1,0,1,0,1,0
1,1,0,0,1,0,1,0
0,0,1,0,1,0,1,1
1,1,0,0,1,0,1,1
0,0,1,0,1,0,1,2
1,1,1,0,2,0,2,2
2,2,0,0,2,0,2,2
0,0,1,0,1,0,1,3
1,1,0,0,1,0,1,3
0,0,1,0,1,0,1,4
1,1,1,0,2,0,2,4
2,2,3,0,5,0,5,4
3,3,3,0,8,0,8,4
4,4,2,1,10,1,11,4
5,5,3,2,13,3,16,4
6,6,0,2,13,5,18,4
7,7,0,0,13,5,18,4
0,0,1,0,1,0,1,5
1,1,0,0,1,0,1,5
0,0,1,0,1,0,1,6
1,1,1,0,2,0,2,6
2,2,1,0,3,0,3,6
3,3,0,0,3,0,3,6
0,0,1,0,1,0,1,7
1,1,0,0,1,0,1,7
0,0,1,0,1,0,1,8
1,1,0,1,1,1,2,8
2,2,0,0,1,1,2,8
0,0,1,0,1,0,1,9
1,1,1,0,2,0,2,9
2,2,0,0,2,0,2,9
0,0,1,0,1,0,1,10
1,1,2,0,3,0,3,10
2,2,1,0,4,0,4,10
3,3,0,0,4,0,4,10
0,0,1,0,1,0,1,11
1,1,0,0,1,0,1,11
0,0,1,0,1,0,1,12
1,1,0,0,1,0,1,12
0,0,1,0,1,0,1,13
1,1,0,0,1,0,1,13
0,0,1,0,1,0,1,14
1,1,1,0,2,0,2,14
2,2,0,2,2,2,4,14
3,3,0,0,2,2,4,14
0,0,1,0,1,0,1,15
1,1,0,0,1,0,1,15
0,0,1,0,1,0,1,16
1,1,0,1,1,1,2,16
2,2,1,0,2,1,3,16
3,3,0,0,2,1,3,16
0,0,1,0,1,0,1,17
1,1,0,0,1,0,1,17
0,0,1,0,1,0,1,18
1,1,0,0,1,0,1,18
0,0,1,0,1,0,1,19
1,1,1,0,2,0,2,19
2,2,1,0,3,0,3,19
3,3,1,0,4,0,4,19
4,4,0,0,4,0,4,19
0,0,1,0,1,0,1,20
1,1,0,0,1,0,1,20
0,0,1,0,1,0,1,21
1,1,1,0,2,0,2,21
2,2,0,1,2,1,3,21
3,3,0,2,2,3,5,21
4,4,0,0,2,3,5,21
0,0,1,0,1,0,1,22
1,1,0,0,1,0,1,22
0,0,1,0,1,0,1,23
1,1,1,1,2,1,3,23
2,2,0,0,2,1,3,23
0,0,1,0,1,0,1,24
1,1,0,0,1,0,1,24
0,0,1,0,1,0,1,25
1,1,0,0,1,0,1,25
0,0,1,0,1,0,1,26
1,1,0,0,1,0,1,26
0,0,1,0,1,0,1,27
1,1,2,0,3,0,3,27
2,2,0,0,3,0,3,27
0,0,1,0,1,0,1,28
1,1,2,1,3,1,4,28
2,2,0,0,3,1,4,28
0,0,1,0,1,0,1,29
1,1,1,0,2,0,2,29
2,2,0,0,2,0,2,29
0,0,1,0,1,0,1,30
1,1,1,0,2,0,2,30
2,2,0,0,2,0,2,30
0,0,1,0,1,0,1,31
1,1,0,0,1,0,1,31
0,0,1,0,1,0,1,32
1,1,0,0,1,0,1,32
0,0,1,0,1,0,1,33
1,1,0,0,1,0,1,33
0,0,1,0,1,0,1,34
1,1,0,0,1,0,1,34
0,0,1,0,1,0,1,35
1,1,0,0,1,0,1,35
0,0,1,0,1,0,1,36
1,1,1,1,2,1,3,36
2,2,1,0,3,1,4,36
3,3,0,0,3,1,4,36
0,0,1,0,1,0,1,37
1,1,1,0,2,0,2,37
2,2,0,0,2,0,2,37
0,0,1,0,1,0,1,38
1,1,0,0,1,0,1,38
0,0,1,0,1,0,1,39
1,1,1,0,2,0,2,39
2,2,1,0,3,0,3,39
3,3,0,0,3,0,3,39
0,0,1,0,1,0,1,40
1,1,0,1,1,1,2,40
2,2,0,0,1,1,2,40
0,0,1,0,1,0,1,41
1,1,1,0,2,0,2,41
2,2,0,0,2,0,2,41
0,0,1,0,1,0,1,42
1,1,1,0,2,0,2,42
2,2,0,0,2,0,2,42
0,0,1,0,1,0,1,43
1,1,0,0,1,0,1,43
0,0,1,0,1,0,1,44
1,1,0,0,1,0,1,44
0,0,1,0,1,0,1,45
1,1,0,0,1,0,1,45
0,0,1,0,1,0,1,46
1,1,0,1,1,1,2,46
2,2,2,0,3,1,4,46
3,3,4,0,7,1,8,46
4,4,2,4,9,5,14,46
5,5,4,2,13,7,20,46
6,6,3,2,16,9,25,46
7,7,4,1,20,10,30,46
8,8,2,1,22,11,33,46
9,9,3,0,25,11,36,46
10,10,5,1,30,12,42,46
11,11,7,2,37,14,51,46
12,12,6,2,43,16,59,46
13,13,9,1,52,17,69,46
14,14,7,5,59,22,81,46
15,15,5,9,64,31,95,46
16,16,2,3,66,34,100,46
17,17,3,1,69,35,104,46
18,18,1,0,70,35,105,46
19,19,1,0,71,35,106,46
20,20,0,0,71,35,106,46
0,0,1,0,1,0,1,47
1,1,1,0,2,0,2,47
2,2,1,0,3,0,3,47
3,3,1,0,4,0,4,47
4,4,0,0,4,0,4,47
0,0,1,0,1,0,1,48
1,1,1,0,2,0,2,48
2,2,0,0,2,0,2,48
0,0,1,0,1,0,1,49
1,1,0,0,1,0,1,49
0,0,1,0,1,0,1,50
1,1,0,0,1,0,1,50
0,0,1,0,1,0,1,51
1,1,0,0,1,0,1,51
0,0,1,0,1,0,1,52
1,1,0,1,1,1,2,52
2,2,1,0,2,1,3,52
3,3,1,0,3,1,4,52
4,4,1,0,4,1,5,52
5,5,0,0,4,1,5,52
0,0,1,0,1,0,1,53
1,1,0,0,1,0,1,53
0,0,1,0,1,0,1,54
1,1,4,0,5,0,5,54
2,2,0,0,5,0,5,54
0,0,1,0,1,0,1,55
1,1,1,0,2,0,2,55
2,2,0,0,2,0,2,55
0,0,1,0,1,0,1,56
1,1,2,1,3,1,4,56
2,2,0,0,3,1,4,56
0,0,1,0,1,0,1,57
1,1,0,0,1,0,1,57
0,0,1,0,1,0,1,58
1,1,2,0,3,0,3,58
2,2,1,0,4,0,4,58
3,3,0,0,4,0,4,58
0,0,1,0,1,0,1,59
1,1,1,1,2,1,3,59
2,2,0,0,2,1,3,59
0,0,1,0,1,0,1,60
1,1,0,0,1,0,1,60
0,0,1,0,1,0,1,61
1,1,0,0,1,0,1,61
0,0,1,0,1,0,1,62
1,1,0,0,1,0,1,62
0,0,1,0,1,0,1,63
1,1,0,0,1,0,1,63
0,0,1,0,1,0,1,64
1,1,0,0,1,0,1,64
0,0,1,0,1,0,1,65
1,1,1,0,2,0,2,65
2,2,1,1,3,1,4,65
3,3,0,1,3,2,5,65
4,4,0,0,3,2,5,65
0,0,1,0,1,0,1,66
1,1,0,1,1,1,2,66
2,2,1,0,2,1,3,66
3,3,3,0,5,1,6,66
4,4,2,1,7,2,9,66
5,5,1,1,8,3,11,66
6,6,0,3,8,6,14,66
7,7,0,1,8,7,15,66
8,8,0,0,8,7,15,66
0,0,1,0,1,0,1,67
1,1,1,0,2,0,2,67
2,2,1,0,3,0,3,67
3,3,0,0,3,0,3,67
0,0,1,0,1,0,1,68
1,1,0,0,1,0,1,68
0,0,1,0,1,0,1,69
1,1,1,0,2,0,2,69
2,2,0,0,2,0,2,69
0,0,1,0,1,0,1,70
1,1,1,0,2,0,2,70
2,2,0,0,2,0,2,70
0,0,1,0,1,0,1,71
1,1,0,1,1,1,2,71
2,2,0,0,1,1,2,71
0,0,1,0,1,0,1,72
1,1,0,0,1,0,1,72
0,0,1,0,1,0,1,73
1,1,2,0,3,0,3,73
2,2,0,0,3,0,3,73
0,0,1,0,1,0,1,74
1,1,0,0,1,0,1,74
0,0,1,0,1,0,1,75
1,1,2,0,3,0,3,75
2,2,1,0,4,0,4,75
3,3,1,0,5,0,5,75
4,4,1,0,6,0,6,75
5,5,0,0,6,0,6,75
0,0,1,0,1,0,1,76
1,1,0,0,1,0,1,76
0,0,1,0,1,0,1,77
1,1,1,1,2,1,3,77
2,2,0,0,2,1,3,77
0,0,1,0,1,0,1,78
1,1,2,1,3,1,4,78
2,2,0,0,3,1,4,78
0,0,1,0,1,0,1,79
1,1,0,1,1,1,2,79
2,2,0,1,1,2,3,79
3,3,0,0,1,2,3,79
0,0,1,0,1,0,1,80
1,1,1,0,2,0,2,80
2,2,1,0,3,0,3,80
3,3,0,0,3,0,3,80
0,0,1,0,1,0,1,81
1,1,1,0,2,0,2,81
2,2,0,0,2,0,2,81
0,0,1,0,1,0,1,82
1,1,3,1,4,1,5,82
2,2,1,0,5,1,6,82
3,3,2,0,7,1,8,82
4,4,2,0,9,1,10,82
5,5,1,1,10,2,12,82
6,6,1,1,11,3,14,82
7,7,2,1,13,4,17,82
8,8,1,1,14,5,19,82
9,9,3,1,17,6,23,82
10,10,2,3,19,9,28,82
11,11,0,2,19,11,30,82
12,12,1,0,20,11,31,82
13,13,0,0,20,11,31,82
0,0,1,0,1,0,1,83
1,1,0,0,1,0,1,83
0,0,1,0,1,0,1,84
1,1,0,1,1,1,2,84
2,2,0,0,1,1,2,84
0,0,1,0,1,0,1,85
1,1,1,0,2,0,2,85
2,2,0,0,2,0,2,85
0,0,1,0,1,0,1,86
1,1,0,0,1,0,1,86
0,0,1,0,1,0,1,87
1,1,0,0,1,0,1,87
0,0,1,0,1,0,1,88
1,1,0,0,1,0,1,88
0,0,1,0,1,0,1,89
1,1,3,0,4,0,4,89
2,2,0,0,4,0,4,89
0,0,1,0,1,0,1,90
1,1,1,0,2,0,2,90
2,2,1,0,3,0,3,90
3,3,0,1,3,1,4,90
4,4,0,1,3,2,5,90
5,5,0,0,3,2,5,90
0,0,1,0,1,0,1,91
1,1,0,0,1,0,1,91
0,0,1,0,1,0,1,92
1,1,1,0,2,0,2,92
2,2,2,0,4,0,4,92
3,3,3,1,7,1,8,92
4,4,1,2,8,3,11,92
5,5,1,1,9,4,13,92
6,6,3,0,12,4,16,92
7,7,3,0,15,4,19,92
8,8,1,0,16,4,20,92
9,9,0,0,16,4,20,92
0,0,1,0,1,0,1,93
1,1,0,0,1,0,1,93
0,0,1,0,1,0,1,94
1,1,2,0,3,0,3,94
2,2,0,1,3,1,4,94
3,3,0,0,3,1,4,94
0,0,1,0,1,0,1,95
1,1,0,0,1,0,1,95
0,0,1,0,1,0,1,96
1,1,2,1,3,1,4,96
2,2,0,0,3,1,4,96
0,0,1,0,1,0,1,97
1,1,0,0,1,0,1,97
0,0,1,0,1,0,1,98
1,1,0,1,1,1,2,98
2,2,2,1,3,2,5,98
3,3,1,2,4,4,8,98
4,4,0,0,4,4,8,98
0,0,1,0,1,0,1,99
1,1,0,0,1,0,1,99
0,0,1,0,1,0,1,100
1,1,2,0,3,0,3,100
2,2,0,0,3,0,3,100
0,0,1,0,1,0,1,101
1,1,0,0,1,0,1,101
0,0,1,0,1,0,1,102
1,1,1,0,2,0,2,102
2,2,0,0,2,0,2,102
0,0,1,0,1,0,1,103
1,1,0,0,1,0,1,103
0,0,1,0,1,0,1,104
1,1,0,0,1,0,1,104
0,0,1,0,1,0,1,105
1,1,0,0,1,0,1,105
0,0,1,0,1,0,1,106
1,1,1,0,2,0,2,106
2,2,1,0,3,0,3,106
3,3,1,0,4,0,4,106
4,4,0,0,4,0,4,106
0,0,1,0,1,0,1,107
1,1,2,0,3,0,3,107
2,2,0,2,3,2,5,107
3,3,0,0,3,2,5,107
0,0,1,0,1,0,1,108
1,1,1,0,2,0,2,108
2,2,0,0,2,0,2,108
0,0,1,0,1,0,1,109
1,1,0,0,1,0,1,109
0,0,1,0,1,0,1,110
1,1,1,0,2,0,2,110
2,2,2,0,4,0,4,110
3,3,2,0,6,0,6,110
4,4,1,0,7,0,7,110
5,5,0,1,7,1,8,110
6,6,1,0,8,1,9,110
7,7,0,0,8,1,9,110
0,0,1,0,1,0,1,111
1,1,0,0,1,0,1,111
0,0,1,0,1,0,1,112
1,1,0,0,1,0,1,112
0,0,1,0,1,0,1,113
1,1,0,0,1,0,1,113
0,0,1,0,1,0,1,114
1,1,1,0,2,0,2,114
2,2,0,0,2,0,2,114
0,0,1,0,1,0,1,115
1,1,1,0,2,0,2,115
2,2,1,0,3,0,3,115
3,3,0,1,3,1,4,115
4,4,0,1,3,2,5,115
5,5,0,0,3,2,5,115
0,0,1,0,1,0,1,116
1,1,1,0,2,0,2,116
2,2,1,0,3,0,3,116
3,3,0,1,3,1,4,116
4,4,0,0,3,1,4,116
0,0,1,0,1,0,1,117
1,1,1,0,2,0,2,117
2,2,0,0,2,0,2,117
0,0,1,0,1,0,1,118
1,1,1,0,2,0,2,118
2,2,0,1,2,1,3,118
3,3,0,1,2,2,4,118
4,4,0,0,2,2,4,118
0,0,1,0,1,0,1,119
1,1,0,0,1,0,1,119
0,0,1,0,1,0,1,120
1,1,1,0,2,0,2,120
2,2,1,0,3,0,3,120
3,3,0,0,3,0,3,120
0,0,1,0,1,0,1,121
1,1,0,0,1,0,1,121
0,0,1,0,1,0,1,122
1,1,0,0,1,0,1,122
0,0,1,0,1,0,1,123
1,1,1,0,2,0,2,123
2,2,1,0,3,0,3,123
3,3,0,0,3,0,3,123
0,0,1,0,1,0,1,124
1,1,0,0,1,0,1,124
0,0,1,0,1,0,1,125
1,1,0,0,1,0,1,125
0,0,1,0,1,0,1,126
1,1,1,0,2,0,2,126
2,2,0,0,2,0,2,126
0,0,1,0,1,0,1,127
1,1,0,0,1,0,1,127
0,0,1,0,1,0,1,128
1,1,1,0,2,0,2,128
2,2,0,0,2,0,2,128
0,0,1,0,1,0,1,129
1,1,0,0,1,0,1,129
0,0,1,0,1,0,1,130
1,1,0,0,1,0,1,130
0,0,1,0,1,0,1,131
1,1,0,0,1,0,1,131
0,0,1,0,1,0,1,132
1,1,1,0,2,0,2,132
2,2,1,0,3,0,3,132
3,3,0,0,3,0,3,132
0,0,1,0,1,0,1,133
1,1,0,0,1,0,1,133
0,0,1,0,1,0,1,134
1,1,0,0,1,0,1,134
0,0,1,0,1,0,1,135
1,1,0,0,1,0,1,135
0,0,1,0,1,0,1,136
1,1,0,0,1,0,1,136
0,0,1,0,1,0,1,137
1,1,2,0,3,0,3,137
2,2,0,0,3,0,3,137
0,0,1,0,1,0,1,138
1,1,1,1,2,1,3,138
2,2,0,0,2,1,3,138
0,0,1,0,1,0,1,139
1,1,0,0,1,0,1,139
0,0,1,0,1,0,1,140
1,1,1,0,2,0,2,140
2,2,2,0,4,0,4,140
3,3,2,0,6,0,6,140
4,4,4,2,10,2,12,140
5,5,3,1,13,3,16,140
6,6,4,1,17,4,21,140
7,7,4,2,21,6,27,140
8,8,5,4,26,10,36,140
9,9,3,8,29,18,47,140
10,10,4,2,33,20,53,140
11,11,3,1,36,21,57,140
12,12,1,2,37,23,60,140
13,13,1,1,38,24,62,140
14,14,2,0,40,24,64,140
15,15,0,0,40,24,64,140
0,0,1,0,1,0,1,141
1,1,0,0,1,0,1,141
0,0,1,0,1,0,1,142
1,1,1,1,2,1,3,142
2,2,0,1,2,2,4,142
3,3,0,0,2,2,4,142
0,0,1,0,1,0,1,143
1,1,0,0,1,0,1,143
0,0,1,0,1,0,1,144
1,1,1,0,2,0,2,144
2,2,0,0,2,0,2,144
0,0,1,0,1,0,1,145
1,1,1,0,2,0,2,145
2,2,1,1,3,1,4,145
3,3,3,1,6,2,8,145
4,4,2,2,8,4,12,145
5,5,2,5,10,9,19,145
6,6,1,4,11,13,24,145
7,7,0,2,11,15,26,145
8,8,0,2,11,17,28,145
9,9,0,1,11,18,29,145
10,10,0,3,11,21,32,145
11,11,0,3,11,24,35,145
12,12,2,1,13,25,38,145
13,13,3,0,16,25,41,145
14,14,0,0,16,25,41,145
0,0,1,0,1,0,1,146
1,1,0,0,1,0,1,146
0,0,1,0,1,0,1,147
1,1,1,1,2,1,3,147
2,2,0,0,2,1,3,147
0,0,1,0,1,0,1,148
1,1,0,0,1,0,1,148
0,0,1,0,1,0,1,149
1,1,1,0,2,0,2,149
2,2,0,0,2,0,2,149
0,0,1,0,1,0,1,150
1,1,0,0,1,0,1,150
0,0,1,0,1,0,1,151
1,1,2,0,3,0,3,151
2,2,0,2,3,2,5,151
3,3,0,2,3,4,7,151
