,generation,new_infections_1,new_infections_2,total_infections_1,total_infections_2,total_infections,simulation_id
0,0,1,0,1,0,1,0
1,1,1,0,2,0,2,0
2,2,1,0,3,0,3,0
3,3,1,0,4,0,4,0
4,4,2,0,6,0,6,0
5,5,3,0,9,0,9,0
6,6,1,0,10,0,10,0
7,7,2,0,12,0,12,0
8,8,2,0,14,0,14,0
9,9,0,1,14,1,15,0
10,10,1,3,15,4,19,0
11,11,1,1,16,5,21,0
12,12,0,1,16,6,22,0
13,13,0,1,16,7,23,0
14,14,0,0,16,7,23,0
0,0,1,0,1,0,1,1
1,1,0,1,1,1,2,1
2,2,0,1,1,2,3,1
3,3,0,0,1,2,3,1
0,0,1,0,1,0,1,2
1,1,1,0,2,0,2,2
2,2,0,0,2,0,2,2
0,0,1,0,1,0,1,3
1,1,0,1,1,1,2,3
2,2,0,2,1,3,4,3
3,3,0,1,1,4,5,3
4,4,0,0,1,4,5,3
0,0,1,0,1,0,1,4
1,1,2,0,3,0,3,4
2,2,0,1,3,1,4,4
3,3,0,0,3,1,4,4
0,0,1,0,1,0,1,5
1,1,1,0,2,0,2,5
2,2,1,1,3,1,4,5
3,3,1,2,4,3,7,5
4,4,0,1,4,4,8,5
5,5,0,0,4,4,8,5
0,0,1,0,1,0,1,6
1,1,0,0,1,0,1,6
0,0,1,0,1,0,1,7
1,1,0,0,1,0,1,7
0,0,1,0,1,0,1,8
1,1,1,0,2,0,2,8
2,2,1,1,3,1,4,8
3,3,2,1,5,2,7,8
4,4,2,2,7,4,11,8
5,5,2,2,9,6,15,8
6,6,2,3,11,9,20,8
7,7,2,1,13,10,23,8
8,8,3,1,16,11,27,8
9,9,1,1,17,12,29,8
10,10,1,1,18,13,31,8
11,11,1,0,19,13,32,8
12,12,1,0,20,13,33,8
13,13,1,0,21,13,34,8
14,14,0,0,21,13,34,8
0,0,1,0,1,0,1,9
1,1,1,1,2,1,3,9
2,2,2,1,4,2,6,9
3,3,1,1,5,3,8,9
4,4,0,1,5,4,9,9
5,5,1,0,6,4,10,9
6,6,1,0,7,4,11,9
7,7,0,0,7,4,11,9
0,0,1,0,1,0,1,10
1,1,1,0,2,0,2,10
2,2,1,0,3,0,3,10
3,3,1,0,4,0,4,10
4,4,2,0,6,0,6,10
5,5,3,0,9,0,9,10
6,6,3,1,12,1,13,10
7,7,0,1,12,2,14,10
8,8,1,0,13,2,15,10
9,9,2,0,15,2,17,10
10,10,1,1,16,3,19,10
11,11,1,1,17,4,21,10
12,12,0,0,17,4,21,10
0,0,1,0,1,0,1,11
1,1,0,1,1,1,2,11
2,2,0,0,1,1,2,11
0,0,1,0,1,0,1,12
1,1,0,1,1,1,2,12
2,2,0,0,1,1,2,12
0,0,1,0,1,0,1,13
1,1,0,0,1,0,1,13
0,0,1,0,1,0,1,14
1,1,0,0,1,0,1,14
0,0,1,0,1,0,1,15
1,1,1,0,2,0,2,15
2,2,1,0,3,0,3,15
3,3,1,0,4,0,4,15
4,4,2,0,6,0,6,15
5,5,1,0,7,0,7,15
6,6,0,0,7,0,7,15
0,0,1,0,1,0,1,16
1,1,0,2,1,2,3,16
2,2,1,0,2,2,4,16
3,3,1,0,3,2,5,16
4,4,0,1,3,3,6,16
5,5,0,0,3,3,6,16
0,0,1,0,1,0,1,17
1,1,2,0,3,0,3,17
2,2,2,0,5,0,5,17
3,3,1,1,6,1,7,17
4,4,0,0,6,1,7,17
0,0,1,0,1,0,1,18
1,1,1,0,2,0,2,18
2,2,1,1,3,1,4,18
3,3,0,1,3,2,5,18
4,4,0,0,3,2,5,18
0,0,1,0,1,0,1,19
1,1,0,0,1,0,1,19
0,0,1,0,1,0,1,20
1,1,1,0,2,0,2,20
2,2,0,2,2,2,4,20
3,3,1,1,3,3,6,20
4,4,1,0,4,3,7,20
5,5,0,0,4,3,7,20
0,0,1,0,1,0,1,21
1,1,0,1,1,1,2,21
2,2,0,1,1,2,3,21
3,3,1,0,2,2,4,21
4,4,1,0,3,2,5,21
5,5,1,0,4,2,6,21
6,6,2,1,6,3,9,21
7,7,1,0,7,3,10,21
8,8,0,0,7,3,10,21
0,0,1,0,1,0,1,22
1,1,0,0,1,0,1,22
0,0,1,0,1,0,1,23
1,1,0,0,1,0,1,23
0,0,1,0,1,0,1,24
1,1,2,0,3,0,3,24
2,2,2,0,5,0,5,24
3,3,0,0,5,0,5,24
0,0,1,0,1,0,1,25
1,1,3,0,4,0,4,25
2,2,2,1,6,1,7,25
3,3,1,1,7,2,9,25
4,4,1,0,8,2,10,25
5,5,0,0,8,2,10,25
0,0,1,0,1,0,1,26
1,1,1,0,2,0,2,26
2,2,1,0,3,0,3,26
3,3,1,0,4,0,4,26
4,4,0,0,4,0,4,26
0,0,1,0,1,0,1,27
1,1,0,1,1,1,2,27
2,2,0,0,1,1,2,27
0,0,1,0,1,0,1,28
1,1,0,1,1,1,2,28
2,2,0,0,1,1,2,28
0,0,1,0,1,0,1,29
1,1,1,0,2,0,2,29
2,2,0,0,2,0,2,29
0,0,1,0,1,0,1,30
1,1,1,0,2,0,2,30
2,2,1,0,3,0,3,30
3,3,2,0,5,0,5,30
4,4,0,1,5,1,6,30
5,5,0,1,5,2,7,30
6,6,0,0,5,2,7,30
0,0,1,0,1,0,1,31
1,1,0,0,1,0,1,31
0,0,1,0,1,0,1,32
1,1,1,1,2,1,3,32
2,2,1,1,3,2,5,32
3,3,2,2,5,4,9,32
4,4,2,3,7,7,14,32
5,5,0,0,7,7,14,32
0,0,1,0,1,0,1,33
1,1,1,0,2,0,2,33
2,2,0,0,2,0,2,33
0,0,1,0,1,0,1,34
1,1,0,1,1,1,2,34
2,2,0,2,1,3,4,34
3,3,1,4,2,7,9,34
4,4,1,1,3,8,11,34
5,5,1,0,4,8,12,34
6,6,0,0,4,8,12,34
0,0,1,0,1,0,1,35
1,1,0,0,1,0,1,35
0,0,1,0,1,0,1,36
1,1,0,0,1,0,1,36
0,0,1,0,1,0,1,37
1,1,2,0,3,0,3,37
2,2,1,0,4,0,4,37
3,3,1,0,5,0,5,37
4,4,1,0,6,0,6,37
5,5,1,0,7,0,7,37
6,6,0,1,7,1,8,37
7,7,0,0,7,1,8,37
0,0,1,0,1,0,1,38
1,1,1,0,2,0,2,38
2,2,0,0,2,0,2,38
0,0,1,0,1,0,1,39
1,1,0,0,1,0,1,39
0,0,1,0,1,0,1,40
1,1,0,2,1,2,3,40
2,2,0,1,1,3,4,40
3,3,0,0,1,3,4,40
0,0,1,0,1,0,1,41
1,1,1,0,2,0,2,41
2,2,2,0,4,0,4,41
3,3,0,0,4,0,4,41
0,0,1,0,1,0,1,42
1,1,0,1,1,1,2,42
2,2,0,1,1,2,3,42
3,3,1,0,2,2,4,42
4,4,0,0,2,2,4,42
0,0,1,0,1,0,1,43
1,1,1,0,2,0,2,43
2,2,3,0,5,0,5,43
3,3,0,1,5,1,6,43
4,4,0,1,5,2,7,43
5,5,0,1,5,3,8,43
6,6,0,0,5,3,8,43
0,0,1,0,1,0,1,44
1,1,1,0,2,0,2,44
2,2,1,0,3,0,3,44
3,3,0,0,3,0,3,44
0,0,1,0,1,0,1,45
1,1,1,0,2,0,2,45
2,2,3,0,5,0,5,45
3,3,2,2,7,2,9,45
4,4,5,4,12,6,18,45
5,5,0,5,12,11,23,45
6,6,0,4,12,15,27,45
7,7,0,0,12,15,27,45
0,0,1,0,1,0,1,46
1,1,2,0,3,0,3,46
2,2,2,1,5,1,6,46
3,3,1,2,6,3,9,46
4,4,1,1,7,4,11,46
5,5,1,2,8,6,14,46
6,6,0,3,8,9,17,46
7,7,1,1,9,10,19,46
8,8,1,0,10,10,20,46
9,9,0,0,10,10,20,46
0,0,1,0,1,0,1,47
1,1,1,0,2,0,2,47
2,2,1,0,3,0,3,47
3,3,0,0,3,0,3,47
0,0,1,0,1,0,1,48
1,1,0,0,1,0,1,48
0,0,1,0,1,0,1,49
1,1,2,0,3,0,3,49
2,2,1,1,4,1,5,49
3,3,1,1,5,2,7,49
4,4,3,4,8,6,14,49
5,5,2,5,10,11,21,49
6,6,1,6,11,17,28,49
7,7,2,4,13,21,34,49
8,8,3,2,16,23,39,49
9,9,2,1,18,24,42,49
10,10,1,3,19,27,46,49
11,11,2,5,21,32,53,49
12,12,3,3,24,35,59,49
13,13,1,3,25,38,63,49
14,14,2,3,27,41,68,49
15,15,0,1,27,42,69,49
16,16,1,0,28,42,70,49
17,17,1,0,29,42,71,49
18,18,0,0,29,42,71,49
0,0,1,0,1,0,1,50
1,1,0,0,1,0,1,50
0,0,1,0,1,0,1,51
1,1,0,0,1,0,1,51
0,0,1,0,1,0,1,52
1,1,1,0,2,0,2,52
2,2,0,0,2,0,2,52
0,0,1,0,1,0,1,53
1,1,2,0,3,0,3,53
2,2,1,0,4,0,4,53
3,3,0,0,4,0,4,53
0,0,1,0,1,0,1,54
1,1,1,0,2,0,2,54
2,2,0,0,2,0,2,54
0,0,1,0,1,0,1,55
1,1,0,0,1,0,1,55
0,0,1,0,1,0,1,56
1,1,0,0,1,0,1,56
0,0,1,0,1,0,1,57
1,1,0,0,1,0,1,57
0,0,1,0,1,0,1,58
1,1,0,0,1,0,1,58
0,0,1,0,1,0,1,59
1,1,0,0,1,0,1,59
0,0,1,0,1,0,1,60
1,1,0,0,1,0,1,60
0,0,1,0,1,0,1,61
1,1,3,0,4,0,4,61
2,2,5,0,9,0,9,61
3,3,2,2,11,2,13,61
4,4,3,0,14,2,16,61
5,5,0,0,14,2,16,61
0,0,1,0,1,0,1,62
1,1,1,0,2,0,2,62
2,2,1,0,3,0,3,62
3,3,0,0,3,0,3,62
0,0,1,0,1,0,1,63
1,1,1,0,2,0,2,63
2,2,1,0,3,0,3,63
3,3,2,0,5,0,5,63
4,4,2,0,7,0,7,63
5,5,1,0,8,0,8,63
6,6,0,1,8,1,9,63
7,7,0,2,8,3,11,63
8,8,0,1,8,4,12,63
9,9,0,0,8,4,12,63
0,0,1,0,1,0,1,64
1,1,2,0,3,0,3,64
2,2,1,1,4,1,5,64
3,3,0,0,4,1,5,64
0,0,1,0,1,0,1,65
1,1,0,1,1,1,2,65
2,2,0,1,1,2,3,65
3,3,0,0,1,2,3,65
0,0,1,0,1,0,1,66
1,1,1,0,2,0,2,66
2,2,1,0,3,0,3,66
3,3,0,0,3,0,3,66
0,0,1,0,1,0,1,67
1,1,1,0,2,0,2,67
2,2,0,0,2,0,2,67
0,0,1,0,1,0,1,68
1,1,1,1,2,1,3,68
2,2,1,2,3,3,6,68
3,3,2,3,5,6,11,68
4,4,0,3,5,9,14,68
5,5,0,1,5,10,15,68
6,6,0,0,5,10,15,68
0,0,1,0,1,0,1,69
1,1,1,0,2,0,2,69
2,2,0,1,2,1,3,69
3,3,0,1,2,2,4,69
4,4,0,1,2,3,5,69
5,5,0,1,2,4,6,69
6,6,0,0,2,4,6,69
0,0,1,0,1,0,1,70
1,1,0,2,1,2,3,70
2,2,0,1,1,3,4,70
3,3,1,1,2,4,6,70
4,4,1,3,3,7,10,70
5,5,0,4,3,11,14,70
6,6,0,5,3,16,19,70
7,7,0,3,3,19,22,70
8,8,1,1,4,20,24,70
9,9,1,1,5,21,26,70
10,10,1,1,6,22,28,70
11,11,1,1,7,23,30,70
12,12,0,0,7,23,30,70
0,0,1,0,1,0,1,71
1,1,1,0,2,0,2,71
2,2,1,0,3,0,3,71
3,3,0,0,3,0,3,71
0,0,1,0,1,0,1,72
1,1,0,0,1,0,1,72
0,0,1,0,1,0,1,73
1,1,1,1,2,1,3,73
2,2,0,0,2,1,3,73
0,0,1,0,1,0,1,74
1,1,1,0,2,0,2,74
2,2,1,0,3,0,3,74
3,3,1,0,4,0,4,74
4,4,4,0,8,0,8,74
5,5,1,1,9,1,10,74
6,6,0,1,9,2,11,74
7,7,0,0,9,2,11,74
0,0,1,0,1,0,1,75
1,1,1,0,2,0,2,75
2,2,2,1,4,1,5,75
3,3,4,2,8,3,11,75
4,4,4,4,12,7,19,75
5,5,7,3,19,10,29,75
6,6,2,4,21,14,35,75
7,7,0,2,21,16,37,75
8,8,0,3,21,19,40,75
9,9,1,0,22,19,41,75
10,10,0,0,22,19,41,75
0,0,1,0,1,0,1,76
1,1,0,0,1,0,1,76
0,0,1,0,1,0,1,77
1,1,2,0,3,0,3,77
2,2,3,0,6,0,6,77
3,3,1,2,7,2,9,77
4,4,0,5,7,7,14,77
5,5,0,3,7,10,17,77
6,6,1,2,8,12,20,77
7,7,1,0,9,12,21,77
8,8,0,0,9,12,21,77
0,0,1,0,1,0,1,78
1,1,3,0,4,0,4,78
2,2,3,0,7,0,7,78
3,3,3,0,10,0,10,78
4,4,0,1,10,1,11,78
5,5,0,1,10,2,12,78
6,6,0,0,10,2,12,78
0,0,1,0,1,0,1,79
1,1,0,0,1,0,1,79
0,0,1,0,1,0,1,80
1,1,1,0,2,0,2,80
2,2,0,1,2,1,3,80
3,3,0,1,2,2,4,80
4,4,0,0,2,2,4,80
0,0,1,0,1,0,1,81
1,1,0,0,1,0,1,81
0,0,1,0,1,0,1,82
1,1,0,0,1,0,1,82
0,0,1,0,1,0,1,83
1,1,0,1,1,1,2,83
2,2,0,0,1,1,2,83
0,0,1,0,1,0,1,84
1,1,0,0,1,0,1,84
0,0,1,0,1,0,1,85
1,1,2,0,3,0,3,85
2,2,3,1,6,1,7,85
3,3,1,1,7,2,9,85
4,4,0,1,7,3,10,85
5,5,0,2,7,5,12,85
6,6,0,2,7,7,14,85
7,7,1,1,8,8,16,85
8,8,1,0,9,8,17,85
9,9,1,0,10,8,18,85
10,10,0,1,10,9,19,85
11,11,1,1,11,10,21,85
12,12,1,1,12,11,23,85
13,13,2,0,14,11,25,85
14,14,0,0,14,11,25,85
0,0,1,0,1,0,1,86
1,1,0,0,1,0,1,86
0,0,1,0,1,0,1,87
1,1,0,0,1,0,1,87
0,0,1,0,1,0,1,88
1,1,0,0,1,0,1,88
0,0,1,0,1,0,1,89
1,1,1,0,2,0,2,89
2,2,1,0,3,0,3,89
3,3,0,0,3,0,3,89
0,0,1,0,1,0,1,90
1,1,0,0,1,0,1,90
0,0,1,0,1,0,1,91
1,1,1,1,2,1,3,91
2,2,2,1,4,2,6,91
3,3,1,1,5,3,8,91
4,4,2,1,7,4,11,91
5,5,4,1,11,5,16,91
6,6,4,0,15,5,20,91
7,7,5,0,20,5,25,91
8,8,3,1,23,6,29,91
9,9,2,5,25,11,36,91
10,10,1,4,26,15,41,91
