,generation,new_infections_1,new_infections_2,total_infections_1,total_infections_2,total_infections,simulation_id
0,0,1,0,1,0,1,0
1,1,0,0,1,0,1,0
0,0,1,0,1,0,1,1
1,1,1,0,2,0,2,1
2,2,2,1,4,1,5,1
3,3,3,1,7,2,9,1
4,4,2,3,9,5,14,1
5,5,1,2,10,7,17,1
6,6,1,1,11,8,19,1
7,7,1,1,12,9,21,1
8,8,1,1,13,10,23,1
9,9,0,1,13,11,24,1
10,10,0,0,13,11,24,1
0,0,1,0,1,0,1,2
1,1,1,0,2,0,2,2
2,2,0,0,2,0,2,2
0,0,1,0,1,0,1,3
1,1,0,0,1,0,1,3
0,0,1,0,1,0,1,4
1,1,1,1,2,1,3,4
2,2,1,0,3,1,4,4
3,3,2,1,5,2,7,4
4,4,3,1,8,3,11,4
5,5,3,0,11,3,14,4
6,6,3,0,14,3,17,4
7,7,1,2,15,5,20,4
8,8,1,3,16,8,24,4
9,9,2,2,18,10,28,4
10,10,3,1,21,11,32,4
11,11,3,1,24,12,36,4
12,12,0,0,24,12,36,4
0,0,1,0,1,0,1,5
1,1,1,0,2,0,2,5
2,2,0,1,2,1,3,5
3,3,0,0,2,1,3,5
0,0,1,0,1,0,1,6
1,1,0,1,1,1,2,6
2,2,0,1,1,2,3,6
3,3,0,0,1,2,3,6
0,0,1,0,1,0,1,7
1,1,1,0,2,0,2,7
2,2,0,0,2,0,2,7
0,0,1,0,1,0,1,8
1,1,0,0,1,0,1,8
0,0,1,0,1,0,1,9
1,1,1,0,2,0,2,9
2,2,0,1,2,1,3,9
3,3,0,0,2,1,3,9
0,0,1,0,1,0,1,10
1,1,1,0,2,0,2,10
2,2,0,0,2,0,2,10
0,0,1,0,1,0,1,11
1,1,1,2,2,2,4,11
2,2,0,2,2,4,6,11
3,3,0,1,2,5,7,11
4,4,0,0,2,5,7,11
0,0,1,0,1,0,1,12
1,1,0,0,1,0,1,12
0,0,1,0,1,0,1,13
1,1,1,0,2,0,2,13
2,2,0,0,2,0,2,13
0,0,1,0,1,0,1,14
1,1,2,1,3,1,4,14
2,2,0,2,3,3,6,14
3,3,0,3,3,6,9,14
4,4,1,1,4,7,11,14
5,5,2,0,6,7,13,14
6,6,0,0,6,7,13,14
0,0,1,0,1,0,1,15
1,1,0,1,1,1,2,15
2,2,0,2,1,3,4,15
3,3,0,0,1,3,4,15
0,0,1,0,1,0,1,16
1,1,0,1,1,1,2,16
2,2,0,0,1,1,2,16
0,0,1,0,1,0,1,17
1,1,1,0,2,0,2,17
2,2,1,1,3,1,4,17
3,3,0,1,3,2,5,17
4,4,0,0,3,2,5,17
0,0,1,0,1,0,1,18
1,1,0,0,1,0,1,18
0,0,1,0,1,0,1,19
1,1,0,1,1,1,2,19
2,2,0,0,1,1,2,19
0,0,1,0,1,0,1,20
1,1,0,0,1,0,1,20
0,0,1,0,1,0,1,21
1,1,0,0,1,0,1,21
0,0,1,0,1,0,1,22
1,1,0,0,1,0,1,22
0,0,1,0,1,0,1,23
1,1,1,0,2,0,2,23
2,2,0,0,2,0,2,23
0,0,1,0,1,0,1,24
1,1,1,0,2,0,2,24
2,2,1,0,3,0,3,24
3,3,1,0,4,0,4,24
4,4,0,0,4,0,4,24
0,0,1,0,1,0,1,25
1,1,0,0,1,0,1,25
0,0,1,0,1,0,1,26
1,1,0,0,1,0,1,26
0,0,1,0,1,0,1,27
1,1,2,0,3,0,3,27
2,2,2,0,5,0,5,27
3,3,1,0,6,0,6,27
4,4,0,0,6,0,6,27
0,0,1,0,1,0,1,28
1,1,1,0,2,0,2,28
2,2,5,0,7,0,7,28
3,3,3,0,10,0,10,28
4,4,1,2,11,2,13,28
5,5,1,1,12,3,15,28
6,6,0,2,12,5,17,28
7,7,1,2,13,7,20,28
8,8,1,1,14,8,22,28
9,9,0,0,14,8,22,28
0,0,1,0,1,0,1,29
1,1,2,0,3,0,3,29
2,2,3,0,6,0,6,29
3,3,4,1,10,1,11,29
4,4,1,1,11,2,13,29
5,5,0,2,11,4,15,29
6,6,0,2,11,6,17,29
7,7,0,1,11,7,18,29
8,8,0,0,11,7,18,29
0,0,1,0,1,0,1,30
1,1,1,0,2,0,2,30
2,2,0,1,2,1,3,30
3,3,0,1,2,2,4,30
4,4,0,1,2,3,5,30
5,5,0,3,2,6,8,30
6,6,1,3,3,9,12,30
7,7,0,3,3,12,15,30
8,8,1,1,4,13,17,30
9,9,1,0,5,13,18,30
10,10,0,0,5,13,18,30
0,0,1,0,1,0,1,31
1,1,1,0,2,0,2,31
2,2,1,0,3,0,3,31
3,3,0,1,3,1,4,31
4,4,0,1,3,2,5,31
5,5,0,0,3,2,5,31
0,0,1,0,1,0,1,32
1,1,1,2,2,2,4,32
2,2,2,1,4,3,7,32
3,3,1,0,5,3,8,32
4,4,0,0,5,3,8,32
0,0,1,0,1,0,1,33
1,1,1,0,2,0,2,33
2,2,0,0,2,0,2,33
0,0,1,0,1,0,1,34
1,1,1,0,2,0,2,34
2,2,1,0,3,0,3,34
3,3,1,0,4,0,4,34
4,4,1,0,5,0,5,34
5,5,3,0,8,0,8,34
6,6,3,1,11,1,12,34
7,7,1,2,12,3,15,34
8,8,0,1,12,4,16,34
9,9,0,0,12,4,16,34
0,0,1,0,1,0,1,35
1,1,2,0,3,0,3,35
2,2,1,0,4,0,4,35
3,3,1,0,5,0,5,35
4,4,1,0,6,0,6,35
5,5,0,0,6,0,6,35
0,0,1,0,1,0,1,36
1,1,1,0,2,0,2,36
2,2,1,1,3,1,4,36
3,3,2,1,5,2,7,36
4,4,1,0,6,2,8,36
5,5,0,1,6,3,9,36
6,6,0,2,6,5,11,36
7,7,1,3,7,8,15,36
8,8,1,3,8,11,19,36
9,9,1,3,9,14,23,36
10,10,0,2,9,16,25,36
11,11,0,1,9,17,26,36
12,12,0,2,9,19,28,36
13,13,2,0,11,19,30,36
14,14,0,0,11,19,30,36
0,0,1,0,1,0,1,37
1,1,2,0,3,0,3,37
2,2,0,0,3,0,3,37
0,0,1,0,1,0,1,38
1,1,0,0,1,0,1,38
0,0,1,0,1,0,1,39
1,1,0,1,1,1,2,39
2,2,0,2,1,3,4,39
3,3,0,1,1,4,5,39
4,4,0,1,1,5,6,39
5,5,0,1,1,6,7,39
6,6,0,2,1,8,9,39
7,7,0,0,1,8,9,39
0,0,1,0,1,0,1,40
1,1,0,0,1,0,1,40
0,0,1,0,1,0,1,41
1,1,1,0,2,0,2,41
2,2,0,0,2,0,2,41
0,0,1,0,1,0,1,42
1,1,1,0,2,0,2,42
2,2,1,0,3,0,3,42
3,3,1,0,4,0,4,42
4,4,2,0,6,0,6,42
5,5,1,0,7,0,7,42
6,6,0,0,7,0,7,42
0,0,1,0,1,0,1,43
1,1,1,0,2,0,2,43
2,2,2,0,4,0,4,43
3,3,1,0,5,0,5,43
4,4,0,0,5,0,5,43
0,0,1,0,1,0,1,44
1,1,0,0,1,0,1,44
0,0,1,0,1,0,1,45
1,1,1,0,2,0,2,45
2,2,0,0,2,0,2,45
0,0,1,0,1,0,1,46
1,1,1,0,2,0,2,46
2,2,0,0,2,0,2,46
0,0,1,0,1,0,1,47
1,1,0,0,1,0,1,47
0,0,1,0,1,0,1,48
1,1,0,0,1,0,1,48
0,0,1,0,1,0,1,49
1,1,2,0,3,0,3,49
2,2,0,0,3,0,3,49
0,0,1,0,1,0,1,50
1,1,0,0,1,0,1,50
0,0,1,0,1,0,1,51
1,1,0,0,1,0,1,51
0,0,1,0,1,0,1,52
1,1,3,1,4,1,5,52
2,2,2,3,6,4,10,52
3,3,1,1,7,5,12,52
4,4,0,0,7,5,12,52
0,0,1,0,1,0,1,53
1,1,0,0,1,0,1,53
0,0,1,0,1,0,1,54
1,1,0,0,1,0,1,54
0,0,1,0,1,0,1,55
1,1,2,1,3,1,4,55
2,2,1,1,4,2,6,55
3,3,1,1,5,3,8,55
4,4,2,0,7,3,10,55
5,5,1,3,8,6,14,55
6,6,1,2,9,8,17,55
7,7,0,2,9,10,19,55
8,8,0,2,9,12,21,55
9,9,1,2,10,14,24,55
10,10,0,0,10,14,24,55
0,0,1,0,1,0,1,56
1,1,1,0,2,0,2,56
2,2,0,0,2,0,2,56
0,0,1,0,1,0,1,57
1,1,2,0,3,0,3,57
2,2,0,0,3,0,3,57
0,0,1,0,1,0,1,58
1,1,1,0,2,0,2,58
2,2,3,0,5,0,5,58
3,3,1,2,6,2,8,58
4,4,0,0,6,2,8,58
0,0,1,0,1,0,1,59
1,1,0,1,1,1,2,59
2,2,0,1,1,2,3,59
3,3,0,1,1,3,4,59
4,4,0,3,1,6,7,59
5,5,1,4,2,10,12,59
6,6,3,2,5,12,17,59
7,7,5,4,10,16,26,59
8,8,4,5,14,21,35,59
9,9,6,3,20,24,44,59
10,10,6,1,26,25,51,59
11,11,5,1,31,26,57,59
12,12,8,3,39,29,68,59
13,13,8,4,47,33,80,59
14,14,2,2,49,35,84,59
15,15,1,0,50,35,85,59
16,16,1,0,51,35,86,59
17,17,2,0,53,35,88,59
18,18,1,2,54,37,91,59
19,19,1,0,55,37,92,59
20,20,0,0,55,37,92,59
0,0,1,0,1,0,1,60
1,1,0,0,1,0,1,60
0,0,1,0,1,0,1,61
1,1,1,0,2,0,2,61
2,2,2,2,4,2,6,61
3,3,1,1,5,3,8,61
4,4,1,2,6,5,11,61
5,5,2,1,8,6,14,61
6,6,2,0,10,6,16,61
7,7,1,0,11,6,17,61
8,8,1,0,12,6,18,61
9,9,0,0,12,6,18,61
0,0,1,0,1,0,1,62
1,1,1,0,2,0,2,62
2,2,1,0,3,0,3,62
3,3,2,0,5,0,5,62
4,4,2,0,7,0,7,62
5,5,2,1,9,1,10,62
6,6,1,0,10,1,11,62
7,7,2,1,12,2,14,62
8,8,5,1,17,3,20,62
9,9,2,1,19,4,23,62
10,10,0,1,19,5,24,62
11,11,0,0,19,5,24,62
0,0,1,0,1,0,1,63
1,1,1,0,2,0,2,63
2,2,0,0,2,0,2,63
0,0,1,0,1,0,1,64
1,1,1,0,2,0,2,64
2,2,1,0,3,0,3,64
3,3,1,0,4,0,4,64
4,4,1,0,5,0,5,64
5,5,1,1,6,1,7,64
6,6,2,0,8,1,9,64
7,7,2,0,10,1,11,64
8,8,2,0,12,1,13,64
9,9,1,0,13,1,14,64
10,10,1,0,14,1,15,64
11,11,0,0,14,1,15,64
0,0,1,0,1,0,1,65
1,1,1,0,2,0,2,65
2,2,0,0,2,0,2,65
0,0,1,0,1,0,1,66
1,1,0,0,1,0,1,66
0,0,1,0,1,0,1,67
1,1,2,1,3,1,4,67
2,2,0,0,3,1,4,67
0,0,1,0,1,0,1,68
1,1,0,0,1,0,1,68
0,0,1,0,1,0,1,69
1,1,0,0,1,0,1,69
0,0,1,0,1,0,1,70
1,1,0,0,1,0,1,70
0,0,1,0,1,0,1,71
1,1,0,1,1,1,2,71
2,2,0,1,1,2,3,71
3,3,1,2,2,4,6,71
4,4,1,2,3,6,9,71
5,5,1,2,4,8,12,71
6,6,3,1,7,9,16,71
7,7,3,2,10,11,21,71
8,8,0,1,10,12,22,71
9,9,0,0,10,12,22,71
0,0,1,0,1,0,1,72
1,1,0,0,1,0,1,72
0,0,1,0,1,0,1,73
1,1,1,0,2,0,2,73
2,2,1,0,3,0,3,73
3,3,0,0,3,0,3,73
0,0,1,0,1,0,1,74
1,1,0,1,1,1,2,74
2,2,0,1,1,2,3,74
3,3,0,1,1,3,4,74
4,4,1,0,2,3,5,74
5,5,0,0,2,3,5,74
0,0,1,0,1,0,1,75
1,1,0,0,1,0,1,75
0,0,1,0,1,0,1,76
1,1,1,0,2,0,2,76
2,2,0,0,2,0,2,76
0,0,1,0,1,0,1,77
1,1,0,1,1,1,2,77
2,2,0,2,1,3,4,77
3,3,0,2,1,5,6,77
4,4,0,2,1,7,8,77
5,5,0,3,1,10,11,77
6,6,1,1,2,11,13,77
7,7,1,0,3,11,14,77
8,8,0,0,3,11,14,77
0,0,1,0,1,0,1,78
1,1,1,0,2,0,2,78
2,2,0,0,2,0,2,78
0,0,1,0,1,0,1,79
1,1,1,0,2,0,2,79
2,2,1,0,3,0,3,79
3,3,0,0,3,0,3,79
0,0,1,0,1,0,1,80
1,1,0,0,1,0,1,80
0,0,1,0,1,0,1,81
1,1,1,0,2,0,2,81
2,2,0,0,2,0,2,81
0,0,1,0,1,0,1,82
1,1,1,1,2,1,3,82
2,2,1,3,3,4,7,82
3,3,0,1,3,5,8,82
4,4,0,2,3,7,10,82
5,5,0,0,3,7,10,82
0,0,1,0,1,0,1,83
1,1,1,0,2,0,2,83
2,2,2,0,4,0,4,83
3,3,3,0,7,0,7,83
4,4,2,0,9,0,9,83
5,5,1,0,10,0,10,83
6,6,1,1,11,1,12,83
7,7,2,2,13,3,16,83
8,8,2,3,15,6,21,83
9,9,1,7,16,13,29,83
10,10,0,4,16,17,33,83
11,11,0,3,16,20,36,83
12,12,0,1,16,21,37,83
13,13,0,0,16,21,37,83
0,0,1,0,1,0,1,84
1,1,1,1,2,1,3,84
2,2,2,1,4,2,6,84
3,3,3,0,7,2,9,84
4,4,1,1,8,3,11,84
5,5,2,0,10,3,13,84
6,6,1,0,11,3,14,84
7,7,0,0,11,3,14,84
0,0,1,0,1,0,1,85
1,1,1,0,2,0,2,85
2,2,1,0,3,0,3,85
3,3,1,0,4,0,4,85
4,4,0,0,4,0,4,85
0,0,1,0,1,0,1,86
1,1,1,0,2,0,2,86
2,2,1,0,3,0,3,86
3,3,1,0,4,0,4,86
4,4,1,0,5,0,5,86
5,5,1,0,6,0,6,86
6,6,0,0,6,0,6,86
0,0,1,0,1,0,1,87
1,1,0,1,1,1,2,87
2,2,1,1,2,2,4,87
3,3,2,1,4,3,7,87
4,4,1,1,5,4,9,87
5,5,1,2,6,6,12,87
6,6,4,1,10,7,17,87
7,7,4,0,14,7,21,87
8,8,7,0,21,7,28,87
9,9,2,0,23,7,30,87
10,10,1,0,24,7,31,87
11,11,1,0,25,7,32,87
12,12,1,0,26,7,33,87
13,13,0,0,26,7,33,87
0,0,1,0,1,0,1,88
1,1,1,0,2,0,2,88
2,2,0,0,2,0,2,88
0,0,1,0,1,0,1,89
1,1,0,0,1,0,1,89
0,0,1,0,1,0,1,90
1,1,1,1,2,1,3,90
2,2,3,1,5,2,7,90
3,3,4,1,9,3,12,90
4,4,2,1,11,4,15,90
5,5,1,0,12,4,16,90
6,6,1,1,13,5,18,90
7,7,1,2,14,7,21,90
8,8,1,0,15,7,22,90
9,9,0,0,15,7,22,90
0,0,1,0,1,0,1,91
1,1,1,0,2,0,2,91
2,2,2,0,4,0,4,91
3,3,1,1,5,1,6,91
4,4,0,1,5,2,7,91
5,5,0,0,5,2,7,91
0,0,1,0,1,0,1,92
1,1,0,0,1,0,1,92
0,0,1,0,1,0,1,93
1,1,0,2,1,2,3,93
2,2,0,2,1,4,5,93
3,3,0,4,1,8,9,93
4,4,1,5,2,13,15,93
5,5,3,4,5,17,22,93
6,6,6,7,11,24,35,93
7,7,9,5,20,29,49,93
8,8,5,1,25,30,55,93
9,9,3,3,28,33,61,93
10,10,3,3,31,36,67,93
11,11,4,3,35,39,74,93
12,12,4,2,39,41,80,93
13,13,4,3,43,44,87,93
14,14,6,6,49,50,99,93
15,15,8,1,57,51,108,93
16,16,13,0,70,51,121,93
17,17,15,3,85,54,139,93
18,18,10,5,95,59,154,93
19,19,10,6,105,65,170,93
20,20,7,3,112,68,180,93
21,21,1,2,113,70,183,93
22,22,0,5,113,75,188,93
23,23,1,6,114,81,195,93
24,24,1,9,115,90,205,93
25,25,1,5,116,95,211,93
26,26,0,3,116,98,214,93
27,27,0,2,116,100,216,93
28,28,0,2,116,102,218,93
29,29,0,0,116,102,218,93
0,0,1,0,1,0,1,94
1,1,0,0,1,0,1,94
0,0,1,0,1,0,1,95
1,1,0,0,1,0,1,95
0,0,1,0,1,0,1,96
1,1,3,1,4,1,5,96
2,2,1,1,5,2,7,96
3,3,1,0,6,2,8,96
4,4,0,0,6,2,8,96
0,0,1,0,1,0,1,97
1,1,1,0,2,0,2,97
